num,file_name,day,crawling
1,리얼탑KB아파트단지매핑,25,X
2,리얼탑 kb아파트평형시세매핑(sas),25,X
5,산단격차율,5,O
8,전국주택 매매가격지수,20,O
9,오피스텔 매매가격지수,20,O
10,용도지역별 지가지수,30,O
32,이용상황별 지가변동률,20,O
33_51,공동주택 통합 매매실거래가격지수 ~ 연립 다세대 매매 평균가격,20,O
52,경기종합지수(2020=100) (10차),20,O
53,품목별 소비자물가지수(품목성질별: 2020=100),20,O
54,생산자물가지수(품목별)(2020=100),20,O
55,면적별 건축물 현황,30,O
56,용도별 건축물 현황,30,O
57,층수별 건축물 현황,30,O
58,동수별 연면적별 건축착공현황,30,O
59,동수별 연면적별 건축허가현황,30,O
60,시도별 건축물착공현황,30,O
65,부문별 주택건설 인허가실적(월별누계),30,O
67,주택규모별 주택건설 인허가실적(월별누계),30,O
69,공사완료후 미분양현황,20,O
70,규모별 미분양현황,30,O
72,시군구별 미분양현황,30,O
73,공동주택현황,20,O
74,주택유형별 주택준공실적_ 다가구구분,30,O
75,"주택유형별 착공실적_다가구 구분,월계",30,O
76_80,부동산시장 소비심리지수~주택전세시장 소비심리지수,30,O
82,K-REMAP지수,30,O
83,전국산업단지현황통계,30,O
84,국가산업단지산업동향,30,O
85,팩토리온 등록공장현황,30,X
86,이용상황별 지가지수,30,O
87,주요정책사업(혁신도시) 지가지수,30,O
88,예금취급기관의 가계대출[주택담보대출+기타대출] 지역별(월별),30,O
